s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.2506740E+002, 7.4840861E+001,-1.7025605E+001,-3.9691348E+001,-6.2636549E+000,-6.9957874E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7484474E+000, 1.1853258E+001, 2.7866100E-003, 2.7866100E-003
 2.2601741E+002, 7.2484835E+001,-1.5807416E+001,-3.9268346E+001,-6.6269440E+000,-6.9503729E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4888144E+000, 1.0775179E+001, 2.7986913E-003, 2.7986913E-003
 2.2703526E+002, 7.5487534E+001,-1.6916606E+001,-3.4981697E+001,-6.8326315E+000,-7.0471453E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5402200E+001, 1.6749553E+001, 2.8110279E-003, 2.8110279E-003
 2.2804634E+002, 7.3662655E+001,-1.7368675E+001,-3.7428339E+001,-6.8334509E+000,-7.0358995E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1660386E+001, 1.2025154E+001, 2.8237184E-003, 2.8237184E-003
 2.2901671E+002, 7.6787249E+001,-1.6953703E+001,-4.1293599E+001,-7.0777006E+000,-7.0816388E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9278452E+000, 1.1455164E+001, 2.8359954E-003, 2.8359954E-003
 2.3006171E+002, 7.7934110E+001,-1.7695732E+001,-3.7987615E+001,-6.9826597E+000,-7.1668031E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3841384E+001, 1.5260936E+001, 2.8484628E-003, 2.8484628E-003
 2.3103207E+002, 7.7962211E+001,-1.7466256E+001,-3.5635651E+001,-6.6735980E+000,-7.1803060E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7064872E+001, 1.8179525E+001, 2.8609630E-003, 2.8609630E-003
 2.3200244E+002, 7.7610054E+001,-1.8313138E+001,-3.4233260E+001,-6.6362588E+000,-7.1386977E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7133939E+001, 1.8420259E+001, 2.8728741E-003, 2.8728741E-003
 2.3304744E+002, 7.5704842E+001,-1.6341062E+001,-3.5481383E+001,-6.7891793E+000,-7.1137536E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5748917E+001, 1.7086104E+001, 2.8854724E-003, 2.8854724E-003
 2.3401781E+002, 7.7345235E+001,-1.7064348E+001,-3.5810483E+001,-6.8216402E+000,-7.1898793E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5744615E+001, 1.7641574E+001, 2.8980708E-003, 2.8980708E-003
 2.3506281E+002, 7.9653580E+001,-1.7461241E+001,-3.9238516E+001,-7.0516520E+000,-7.2402816E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3839483E+001, 1.5894930E+001, 2.9103582E-003, 2.9103582E-003
 2.3603317E+002, 7.9392926E+001,-1.7906345E+001,-4.2040003E+001,-7.5235400E+000,-7.3306177E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1533132E+001, 1.1915707E+001, 2.9230383E-003, 2.9230383E-003
 2.3703329E+002, 7.7944829E+001,-1.7351385E+001,-4.1791719E+001,-7.7200515E+000,-7.3240204E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9201225E+000, 1.1074350E+001, 2.9352676E-003, 2.9352676E-003
 2.3803140E+002, 7.9417273E+001,-1.8333252E+001,-4.3610379E+001,-7.5108675E+000,-7.4049831E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0291570E+000, 9.9553695E+000, 2.9474770E-003, 2.9474770E-003
 2.3904265E+002, 7.8742495E+001,-1.6992650E+001,-4.3343109E+001,-7.5497861E+000,-7.4104419E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4188089E+000, 1.0849540E+001, 2.9601297E-003, 2.9601297E-003
 2.4005388E+002, 7.9852934E+001,-1.8032000E+001,-3.9643967E+001,-7.4616444E+000,-7.4176924E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2746953E+001, 1.4707905E+001, 2.9726790E-003, 2.9726790E-003
 2.4106512E+002, 8.1794664E+001,-1.8148235E+001,-3.6326644E+001,-7.4770439E+000,-7.5337135E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8570843E+001, 1.9835208E+001, 2.9852282E-003, 2.9852282E-003
 2.4200414E+002, 8.0302163E+001,-1.7772706E+001,-3.7423797E+001,-7.5875281E+000,-7.5689646E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7256186E+001, 1.7510563E+001, 2.9972539E-003, 2.9972539E-003
 2.4301538E+002, 8.1294574E+001,-1.8809132E+001,-4.4363155E+001,-7.5120309E+000,-7.5943378E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6764482E+000, 1.0602661E+001, 3.0094759E-003, 3.0094759E-003
